150,151,152
86,334,434
23,98,303
457,473,474
184,242,363
11,294,343
134,137,138
53,353,452
117,118,129
280,352,353
26,115,441
41,140,351
73,86,87
150,151,161
200,201,501
11,294,359
81,82,295
73,188,292
169,226,497
73,173,187
73,173,188
73,74,86
73,173,194
73,173,195
27,191,306
169,404,497
46,319,320
34,445,493
350,351,352
38,120,314
81,82,296
59,162,395
61,158,454
73,86,99
32,111,309
27,346,347
184,363,499
100,102,439
30,107,308
73,86,334
162,164,165
53,54,148
19,20,102
256,258,346
59,394,395
73,173,180
73,173,181
183,187,362
1,342,358
55,56,328
1,342,354
99,112,335
55,56,327
19,185,365
264,266,348
55,147,452
73,195,222
232,234,342
73,173,174
341,360,406
73,222,292
99,112,336
25,26,492
73,181,399
280,352,392
112,113,442
282,393,504
19,300,365
179,357,498
73,180,195
130,131,317
73,180,194
130,131,318
73,215,292
118,129,311
17,102,438
99,112,304
73,180,181
126,445,493
69,73,195
13,14,343
69,73,194
73,180,188
445,446,493
73,180,187
231,235,460
73,195,292
21,96,183
41,42,447
110,112,310
27,106,115
15,82,437
69,73,180
69,73,181
31,105,443
69,73,188
19,300,345
47,48,136
364,365,412
176,179,498
375,377,501
182,360,361
69,73,187
47,48,134
211,389,503
41,351,494
5,169,342
430,431,488
13,176,343
196,201,373
196,201,374
189,194,367
189,194,368
486,487,488
350,351,384
350,351,388
482,484,486
267,468,483
19,21,345
69,73,173
27,115,191
69,73,174
11,12,177
473,475,506
482,484,485
48,138,322
61,330,333
15,85,297
207,208,502
11,89,436
44,131,317
259,260,466
11,89,435
39,123,316
47,203,321
126,445,446
69,73,167
73,86,399
342,354,358
39,123,315
51,389,503
256,346,372
45,131,449
92,336,440
59,60,395
47,351,449
25,26,441,492
62,157,329
257,258,465
48,321,322
219,393,504
39,348,349
105,112,113
11,13,343
274,387,503
19,91,300
88,99,335
190,369,500
39,40,446
102,439,440
134,138,322
225,226,457
240,242,341
19,93,365
390,426,512
57,453,454
33,127,338
217,390,391
256,346,374
256,346,376
37,39,446
210,214,215
134,138,338
206,382,383
358,408,409
43,351,383
364,412,508
9,88,343
47,203,351
31,337,443
341,342,360
157,166,329
73,215,216
61,163,454
23,439,440
61,163,456
125,126,138
341,342,364
48,136,322
73,201,399
169,172,497
51,154,353
19,93,345
162,453,456
79,80,293
162,453,454
43,141,448
157,166,333
43,141,447
73,82,86
169,223,224
151,339,449
47,203,379
41,351,447
341,342,358
27,106,191
341,342,354
128,129,444
7,342,358
463,479,508
239,243,462
7,342,354
51,154,340
263,267,468
73,399,400
131,132,317
73,201,374
9,10,435,490
55,56,353
138,139,338
23,345,440
15,297,343
33,348,349
61,62,329
169,224,497
256,346,348
256,346,347
476,477,507
144,152,451
15,175,343
118,126,445
144,152,452
225,226,497
61,62,333
61,62,330
37,197,501
138,139,322
161,340,452
364,365,499
15,175,355
174,354,355
348,349,382
105,106,305
51,154,324
73,215,222
471,472,487
180,232,356
19,23,345
166,454,455
43,44,141
348,350,388
7,69,434
59,395,504
348,349,378
73,208,222
89,435,436
241,242,461
74,76,433
141,447,448
31,110,443
396,399,505
11,80,177
3,4,342
66,77,287
3,170,404
76,433,434
99,100,439
348,350,378
247,251,464
348,350,384
73,208,216
73,208,215
348,350,382
7,234,342
121,122,313
37,118,446
26,442,492
51,154,389
7,8,168
460,473,475
205,266,381
250,344,370
51,145,212
172,226,497
9,178,435
162,165,333
59,60,455
23,24,97
23,24,95
348,349,350
251,252,464
275,470,485
101,112,336
73,200,201
51,212,389
7,71,168
51,212,387
5,66,434
250,344,366
33,199,377
39,121,315
61,453,454
243,244,462
31,189,367
250,344,369
7,168,434
39,121,313
195,196,373
151,152,161
212,274,387
266,346,348
418,420,510
19,102,300
463,464,479
196,372,373
73,217,222
453,454,455
53,326,452
3,76,432
55,327,452
9,341,343
9,88,335
53,146,326
112,336,440
283,284,472
53,55,452
153,161,340
336,439,440
32,309,310
73,167,399
73,167,397
114,337,443
5,342,434
250,344,346
250,344,345
128,338,444
468,483,510
128,338,446
128,338,445
3,76,433
273,274,469
378,418,419
49,154,450
340,451,452
53,148,353
92,100,439
3,76,404
466,480,481
43,141,383
147,148,325
364,412,413
73,202,215
369,371,500
73,202,216
57,162,453
39,123,349
461,462,477
370,371,500
281,282,471
5,232,342
64,161,332
3,67,76
428,429,512
9,178,490
73,202,222
73,168,173
92,100,440
66,74,433
29,190,443
272,348,350
176,180,356
66,74,434
73,188,222
439,440,491
43,382,383
11,177,294
15,79,437
55,210,452
53,211,452
104,105,306
137,138,321
104,105,305
272,274,350
137,138,322
73,181,361
5,7,342
470,484,485
73,202,208
43,45,351
73,202,209
206,383,502
469,484,485
73,173,224
115,442,443
36,118,311
